graph_id;vertices;edges;cost_prim;ops_prim;time_prim;cost_kruskal;ops_kruskal;time_kruskal
1;5;6;124;10;1.62;124;33;3.67
2;10;14;366;23;0.08;366;118;0.07
3;15;21;541;41;0.09;541;195;0.09
4;20;29;756;55;0.14;756;282;0.11
5;25;36;1204;68;0.35;1204;351;0.23
6;50;74;1809;147;0.24;1809;861;0.36
7;77;114;2599;219;0.38;2599;1352;0.29
8;104;155;3952;307;2.32;3952;1994;0.38
9;131;195;4981;390;1.03;4981;2584;0.48
10;158;236;5833;462;0.67;5833;3110;0.52
11;185;276;6740;550;0.52;6740;3784;1.12
12;212;317;7397;618;0.53;7397;4297;0.71
13;239;357;8667;713;0.74;8667;5007;0.74
14;266;398;9636;794;1.08;9636;5679;1.32
15;293;438;10841;874;2.52;10841;6307;6.0
16;350;524;12757;1041;0.89;12757;7622;0.91
17;422;632;15402;1258;2.72;15402;9446;2.2
18;494;740;19323;1450;1.82;19323;11014;2.5
19;566;848;20628;1694;4.29;20628;12988;1.39
20;638;956;23117;1909;1.51;23117;14852;5.43
21;710;1064;25685;2110;2.45;25685;16668;6.2
22;782;1172;29884;2340;1.84;29884;18585;2.03
23;854;1280;31923;2553;1.89;31923;20340;1.54
24;926;1388;33802;2776;1.95;33802;22307;1.71
25;998;1496;34034;2992;2.12;34034;24193;2.96
26;1300;1949;47714;3887;3.04;47714;32169;2.48
27;1600;2399;58770;4789;3.68;58770;40399;2.97
28;2000;2999;73685;5978;16.75;73685;51526;3.85
