graph_id;vertices;edges;algorithm;cost;operations;time_ms
1;5;6;Prim;140;11;0,05
1;5;6;Kruskal;140;39;0,04
2;10;14;Prim;362;26;0,12
2;10;14;Kruskal;362;113;0,08
3;15;24;Prim;603;42;0,24
3;15;24;Kruskal;603;200;0,13
4;20;31;Prim;667;59;0,49
4;20;31;Kruskal;667;301;0,25
5;25;30;Prim;946;54;0,11
5;25;30;Kruskal;946;258;0,09
6;50;69;Prim;1617;137;0,83
6;50;69;Kruskal;1617;779;0,36
7;100;142;Prim;4502;279;0,46
7;100;142;Kruskal;4502;1717;0,47
8;125;162;Prim;5418;321;4,86
8;125;162;Kruskal;5418;2014;6,15
9;150;229;Prim;5444;455;1,10
9;150;229;Kruskal;5444;3044;1,09
10;175;249;Prim;7300;494;1,20
10;175;249;Kruskal;7300;3313;0,73
11;200;264;Prim;8070;526;0,67
11;200;264;Kruskal;8070;3523;0,85
12;225;343;Prim;8025;678;0,75
12;225;343;Kruskal;8025;4747;0,81
13;250;397;Prim;8621;792;0,70
13;250;397;Kruskal;8621;5616;0,88
14;275;374;Prim;11696;745;2,12
14;275;374;Kruskal;11696;5205;2,02
15;300;426;Prim;11612;850;0,77
15;300;426;Kruskal;11612;6027;0,73
16;350;510;Prim;13215;1020;8,78
16;350;510;Kruskal;13215;7388;0,93
17;450;557;Prim;18687;1108;10,84
17;450;557;Kruskal;18687;7978;1,46
18;550;788;Prim;20925;1574;6,53
18;550;788;Kruskal;20925;11866;2,51
19;650;817;Prim;28753;1634;4,72
19;650;817;Kruskal;28753;12200;4,73
20;700;970;Prim;28172;1935;2,59
20;700;970;Kruskal;28172;14864;3,15
21;750;1089;Prim;27815;2177;2,62
21;750;1089;Kruskal;27815;16928;4,22
22;850;1165;Prim;33691;2328;1,90
22;850;1165;Kruskal;33691;18238;28,71
23;900;1235;Prim;36122;2467;8,93
23;900;1235;Kruskal;36122;19295;22,14
24;950;1213;Prim;39015;2424;2,83
24;950;1213;Kruskal;39015;18853;2,02
25;1000;1254;Prim;42545;2505;2,34
25;1000;1254;Kruskal;42545;19515;6,57
26;1300;1670;Prim;53769;3339;41,89
26;1300;1670;Kruskal;53769;26737;2,75
27;1600;2110;Prim;66314;4220;5,45
27;1600;2110;Kruskal;66314;34560;21,00
28;2000;2522;Prim;85736;5041;5,23
28;2000;2522;Kruskal;85736;41881;4,14
